dataset_scientificName	dataset_taxonID	acceptedNameUsageID	acceptedName	gbif_speciesName	gbif_taxonID	taxonomicStatus	ncbi_speciesName	ncbi_taxonID	status	ncbi_acceptedName	gbif_wikidata_uri	ncbi_taxonID_wd	ncbi_wikidata_uri	gbif_taxonID_wd	curation
Convolvulus tricolor L.	7162908	7162908	Convolvulus tricolor L.	Convolvulus tricolor L.	7162908	accepted	Convolvulus tricolor L.	4124	exact_match	Convolvulus tricolor	http://www.wikidata.org/entity/Q149615	4124			ok_auto
Sedum dasyphyllum L.	7172720	7172720	Sedum dasyphyllum L.	Sedum dasyphyllum L.	7172720	accepted	Sedum dasyphyllum L.	91129	exact_match	Sedum dasyphyllum	http://www.wikidata.org/entity/Q663060	91129			ok_auto
Phedimus aizoon (L.) 't Hart	7172831	7172831	Phedimus aizoon (L.) 't Hart	Phedimus aizoon (L.) 't Hart	7172831	accepted	Phedimus aizoon (L.) 't Hart	116726	exact_match	Phedimus aizoon	http://www.wikidata.org/entity/Q309780	116726			ok_auto
Acer cappadocicum Gled.	7262908	7262908	Acer cappadocicum Gled.	Acer cappadocicum Gled.	7262908	accepted	Acer cappadocicum Gled.	169053	exact_match	Acer cappadocicum	http://www.wikidata.org/entity/Q766133	169053			ok_auto
Acer monspessulanum L.	7262958	7262958	Acer monspessulanum L.	Acer monspessulanum L.	7262958	accepted	Acer monspessulanum L.	168566	exact_match	Acer monspessulanum	http://www.wikidata.org/entity/Q161388	168566			ok_auto
Acer ×zoeschense Pax	7263134	7263134	Acer ×zoeschense Pax	Acer ×zoeschense Pax	7263134	accepted					http://www.wikidata.org/entity/Q4673185				no_match_incl_synonyms
Ceratophyllum platyacanthum Cham.	7263169	7263169	Ceratophyllum platyacanthum Cham.	Ceratophyllum platyacanthum Cham.	7263169	accepted	Ceratophyllum platyacanthum Cham.	1560470	exact_match	Ceratophyllum platyacanthum	http://www.wikidata.org/entity/Q160906	1560470			ok_auto
Globularia cordifolia L.	7265184	7265184	Globularia cordifolia L.	Globularia cordifolia L.	7265184	accepted	Globularia cordifolia L., 1753	69063	exact_match	Globularia cordifolia	http://www.wikidata.org/entity/Q181019	69063			ok_auto
Globularia nudicaulis L.	7265189	7265189	Globularia nudicaulis L.	Globularia nudicaulis L.	7265189	accepted	Globularia nudicaulis L., 1753	90639	exact_match	Globularia nudicaulis	http://www.wikidata.org/entity/Q1396181	90639			ok_auto
Populus wilsonii C.K.Schneid.	7266444	7266444	Populus wilsonii C.K.Schneid.	Populus wilsonii C.K.Schneid.	7266444	accepted	Populus wilsonii C.K.Schneid.	179741	exact_match	Populus wilsonii	http://www.wikidata.org/entity/Q6772356	179741			ok_auto
Salix starkeana Willd.	7266759	7266759	Salix starkeana Willd.	Salix starkeana Willd.	7266759	accepted	Salix starkeana Willd., 1806	470268	exact_match	Salix starkeana	http://www.wikidata.org/entity/Q883558	470268			ok_auto
Salix caesia Vill.	7266795	7266795	Salix caesia Vill.	Salix caesia Vill.	7266795	accepted	Salix caesia Vill.	470572	exact_match	Salix caesia	http://www.wikidata.org/entity/Q1592917	470572			ok_auto
Salix breviserrata Flod.	7266834	7266834	Salix breviserrata Flod.	Salix breviserrata Flod.	7266834	accepted	Salix breviserrata Flod.	1533360	exact_match	Salix breviserrata	http://www.wikidata.org/entity/Q6117332	1533360			ok_auto
Moehringia muscosa L.	7267358	7267358	Moehringia muscosa L.	Moehringia muscosa L.	7267358	accepted	Moehringia muscosa L.	325507	exact_match	Moehringia muscosa	http://www.wikidata.org/entity/Q160832	325507			ok_auto
Heliosperma pusillum (Waldst. & Kit.) Rchb.	7267415	7267415	Heliosperma pusillum (Waldst. & Kit.) Rchb.	Heliosperma pusillum (Waldst. & Kit.) Rchb.	7267415	accepted	Heliosperma pusillum (Waldst. & Kit.) Rchb.	39905	exact_match	Heliosperma pusillum	http://www.wikidata.org/entity/Q95498650	39905			ok_auto
Minuartia setacea (Thuill.) Hayek	7267480	7267480	Minuartia setacea (Thuill.) Hayek	Minuartia setacea (Thuill.) Hayek	7267480	accepted	Minuartia setacea (Thuill.) Hayek	1479378	exact_match	Minuartia setacea	http://www.wikidata.org/entity/Q11784845	1479378			ok_auto
Minuartia rubra (Scop.) McNeill	7267507	9439685	Minuartia mucronata subsp. mucronata	Minuartia rubra (Scop.) McNeill	7267507	synonym	Minuartia rubra (Scop.) McNeill	1479375	exact_match	Minuartia rubra	http://www.wikidata.org/entity/Q1021752	1479375			ok_auto
Dianthus giganteus d'Urv.	7267630	7267630	Dianthus giganteus d'Urv.	Dianthus giganteus d'Urv.	7267630	accepted	Dianthus giganteus d'Urv.	746769	exact_match	Dianthus giganteus	http://www.wikidata.org/entity/Q15547950	746769			ok_auto
Gypsophila fastigiata L.	7267655	7267655	Gypsophila fastigiata L.	Gypsophila fastigiata L.	7267655	accepted	Gypsophila fastigiata L.	1137859	exact_match	Gypsophila fastigiata	http://www.wikidata.org/entity/Q161299	1137859			ok_auto
Minuartia hirsuta (M.Bieb.) Hand.-Mazz.	7267666	7267666	Minuartia hirsuta (M.Bieb.) Hand.-Mazz.	Minuartia hirsuta (M.Bieb.) Hand.-Mazz.	7267666	accepted	Minuartia hirsuta (M.Bieb.) Hand.-Mazz.	1479364	exact_match	Minuartia hirsuta	http://www.wikidata.org/entity/Q15548241	1479364			ok_auto
Gentianella praecox (A.Kern. & Jos.Kern.) Dostál ex E.Mayer	7269992	7270124	Gentianella lutescens (Velen.) Holub	Gentianella lutescens (Velen.) Holub	7270124	accepted	Gentianella lutescens (Velen.) Holub	242221	exact_match	Gentianella lutescens	http://www.wikidata.org/entity/Q160288	242221	http://www.wikidata.org/entity/Q160288	7270124	ok_auto
Gentianella lutescens (Velen.) Holub	7270124	7270124	Gentianella lutescens (Velen.) Holub	Gentianella lutescens (Velen.) Holub	7270124	accepted	Gentianella lutescens (Velen.) Holub	242221	exact_match	Gentianella lutescens	http://www.wikidata.org/entity/Q160288	242221	http://www.wikidata.org/entity/Q160288	7270124	ok_auto
Gentiana bavarica L.	7270316	7270316	Gentiana bavarica L.	Gentiana bavarica L.	7270316	accepted	Gentiana bavarica L.	49937	exact_match	Gentiana bavarica	http://www.wikidata.org/entity/Q160788	49937			ok_auto
Gentiana asclepiadea L.	7270381	7270381	Gentiana asclepiadea L.	Gentiana asclepiadea L.	7270381	accepted	Gentiana asclepiadea L.	49935	exact_match	Gentiana asclepiadea	http://www.wikidata.org/entity/Q162853	49935			ok_auto
Gentiana pneumonanthe L.	7270598	7270598	Gentiana pneumonanthe L.	Gentiana pneumonanthe L.	7270598	accepted	Gentiana pneumonanthe L.	49950	exact_match	Gentiana pneumonanthe	http://www.wikidata.org/entity/Q161548	49950			ok_auto
Gentianopsis ciliata (L.) Ma	7270648	7270648	Gentianopsis ciliata (L.) Ma	Gentianopsis ciliata (L.) Ma	7270648	accepted	Gentianopsis ciliata (L.) Ma	49941	exact_match	Gentianopsis ciliata	http://www.wikidata.org/entity/Q159482	49941			ok_auto
Ranunculus cassubicus L.	7276750	7276750	Ranunculus cassubicus L.	Ranunculus cassubicus L.	7276750	accepted	Ranunculus cassubicus L.	568539	exact_match	Ranunculus cassubicus	http://www.wikidata.org/entity/Q1734898	568539			ok_auto
Ranunculus carinthiacus Hoppe	7276784	7276784	Ranunculus carinthiacus Hoppe	Ranunculus carinthiacus Hoppe	7276784	accepted	Ranunculus carinthiacus Hoppe, 1826	286878	exact_match	Ranunculus carinthiacus	http://www.wikidata.org/entity/Q1421637	286878			ok_auto
Ranunculus macrotis Brodtb.	7276986	7276986	Ranunculus macrotis Brodtbeck	Ranunculus macrotis Brodtbeck	7276986	accepted					http://www.wikidata.org/entity/Q17844801				no_match_incl_synonyms
Ranunculus lunaris Brodtb.	7277061	7277061	Ranunculus lunaris Brodtbeck	Ranunculus lunaris Brodtbeck	7277061	accepted					http://www.wikidata.org/entity/Q17835854				no_match_incl_synonyms
Ranunculus strigulosus Schur	7277179	7277745	Ranunculus propinquus subsp. propinquus	Ranunculus strigulosus Schur	7277179	synonym					http://www.wikidata.org/entity/Q15378343				no_match_incl_synonyms
Ranunculus stellaris Brodtb.	7277205	7277205	Ranunculus stellaris Brodtbeck	Ranunculus stellaris Brodtbeck	7277205	accepted					http://www.wikidata.org/entity/Q17843118				no_match_incl_synonyms
Ranunculus seguieri Vill.	7277339	7277339	Ranunculus seguieri Vill.	Ranunculus seguieri Vill.	7277339	accepted	Ranunculus seguieri Vill.	286992	exact_match	Ranunculus seguieri	http://www.wikidata.org/entity/Q1428584	286992			ok_auto
Ranunculus illyricus L.	7277455	7277455	Ranunculus illyricus L.	Ranunculus illyricus L.	7277455	accepted	Ranunculus illyricus L., 1753	286917	exact_match	Ranunculus illyricus	http://www.wikidata.org/entity/Q639337	286917			ok_auto
