dataset_scientificName	dataset_taxonID	acceptedNameUsageID	acceptedName	gbif_speciesName	gbif_taxonID	taxonomicStatus	ncbi_speciesName	ncbi_taxonID	status	ncbi_acceptedName	gbif_wikidata_uri	ncbi_taxonID_wd	ncbi_wikidata_uri	gbif_taxonID_wd	curation
Ammophila arenaria (L.) Link	5289845	5289845	Ammophila arenaria (L.) Link	Ammophila arenaria (L.) Link	5289845	accepted	Ammophila arenaria (L.) Link, 1827	96047	exact_match	Calamagrostis arenaria	http://www.wikidata.org/entity/Q161568				wd_batch_add_ncbi_taxonid
Spartina anglica C.E.Hubb.	5290029	9398259	Sporobolus anglicus (C.E.Hubb.) P.M.Peterson & Saarela	Spartina anglica C.E.Hubb.	5290029	homotypic synonym	Spartina anglica C.E.Hubb.	49785	exact_match	Sporobolus anglicus	http://www.wikidata.org/entity/Q1484698				wd_batch_add_ncbi_taxonid
Spartina ×townsendii H.Groves & J.Groves	5290034	9393876	Sporobolus townsendii (H.Groves & J.Groves) P.M.Peterson & Saarela	Spartina neyrautii Foucaud	5948665	synonym	Spartina x neyrautii Foucaud, 1894	198504	exact_match	Sporobolus x townsendii	http://www.wikidata.org/entity/Q15501788				wd_batch_add_ncbi_taxonid
Elymus junceus Fisch.	5290047	2705042	Psathyrostachys juncea (Fisch.) Nevski	Elymus junceus Fisch.	5290047	homotypic synonym	Elymus junceus Fisch.	4586	exact_match	Psathyrostachys juncea	http://www.wikidata.org/entity/Q39577922				wd_batch_add_ncbi_taxonid
Crypsis alopecuroides (Piller & Mitterp.) Schrad.	5290186	9632508	Sporobolus alopecuroides (Piller & Mitterp.) P.M.Peterson	Crypsis alopecuroides (Piller & Mitterp.) Schrad.	5290186	homotypic synonym	Crypsis alopecuroides (Piller & Mitterp.) Schrad.	1532756	exact_match	Sporobolus alopecuroides	http://www.wikidata.org/entity/Q5190598				wd_batch_add_ncbi_taxonid
Sisyrinchium bermudiana L.	5296097	5296097	Sisyrinchium bermudiana L.	Sisyrinchium bermudiana L.	5296097	accepted	Sisyrinchium bermudiana L.	1053959	exact_match	Sisyrinchium bermudianum	http://www.wikidata.org/entity/Q2533688				wd_batch_add_ncbi_taxonid
Coeloglossum viride (L.) Hartm.	5313015	2810284	Dactylorhiza viridis (L.) R.M.Bateman, Pridgeon & M.W.Chase	Coeloglossum viride (L.) Hartm.	5313015	homotypic synonym	Coeloglossum viride (L.) Hartm., 1820	230577	exact_match	Dactylorhiza viridis	http://www.wikidata.org/entity/Q22782964				wd_batch_add_ncbi_taxonid
Listera cordata (L.) R.Br.	5314262	2816213	Neottia cordata (L.) Rich.	Listera cordata (L.) R.Br.	5314262	homotypic synonym	Listera cordata (L.) R.Br.	669720	exact_match	Neottia cordata	http://www.wikidata.org/entity/Q157891				wd_batch_add_ncbi_taxonid
Listera ovata (L.) R.Br.	5314276	2816250	Neottia ovata (L.) Bluff & Fingerh.	Listera ovata (L.) R.Br.	5314276	homotypic synonym	Listera ovata (L.) R.Br.	29712	exact_match	Neottia ovata	http://www.wikidata.org/entity/Q157437				wd_batch_add_ncbi_taxonid
Nigritella rhellicani Teppner & E.Klein	5323920	2840460	Gymnadenia rhellicani (Teppner & E.Klein) Teppner & E.Klein	Nigritella rhellicani Teppner & E.Klein	5323920	homotypic synonym	Nigritella rhellicani Teppner & E.Klein	1126420	exact_match	Gymnadenia rhellicani	http://www.wikidata.org/entity/Q39349285				wd_batch_add_ncbi_taxonid
